id,rhs,lhs,support,confidence,lift
0,"('doritos',)","('mountain dew',)",0.004532729,0.290598291,4.843950617
1,"('doritos',)","('olive oil',)",0.003199573,0.205128205,3.114709852
2,"('mushroom cream sauce',)","('escalope',)",0.005732569,0.300699301,3.790832697
3,"('pasta',)","('escalope',)",0.005865885,0.372881356,4.70081185
4,"('fromage blanc',)","('honey',)",0.003332889,0.245098039,5.164270764
5,"('herb & pepper',)","('soylent coffiest',)",0.015997867,0.323450135,3.291993841
6,"('tomato sauce',)","('soylent coffiest',)",0.005332622,0.377358491,3.840659481
7,"('whole wheat pasta',)","('olive oil',)",0.007998933,0.271493213,4.122410098
8,"('pasta',)","('shrimp',)",0.005065991,0.322033898,4.506672148
9,"('avocado', 'sun chips')","('milk',)",0.003332889,0.416666667,3.215449246
10,"('milk', 'cake')","('burgers',)",0.003732836,0.28,3.211437309
11,"('chocolate', 'turkey')","('burgers',)",0.003066258,0.270588235,3.103489836
12,"('turkey', 'milk')","('burgers',)",0.003199573,0.282352941,3.238424177
13,"('soylent vanilla', 'cake')","('tomatoes',)",0.003066258,0.298701299,4.367560315
14,"('soylent coffiest',)","('sun chips',)",0.003066258,0.676470588,3.885303126
15,"('soylent vanilla', 'chocolate')","('shrimp',)",0.005332622,0.23255814,3.254512322
16,"('chocolate', 'herb & pepper')","('soylent coffiest',)",0.003999467,0.441176471,4.490182776
17,"('chocolate', 'soup')","('milk',)",0.003999467,0.394736842,3.046215075
18,"('cooking oil', 'soylent coffiest' )","('sun chips',)",0.00479936,0.571428571,3.281995187
19,"('nan', 'doritos')","('mountain dew',)",0.004532729,0.290598291,4.843950617
20,"('nan', 'doritos')","('olive oil',)",0.003199573,0.205128205,3.114709852
21,"('soylent coffiest' , 'eggs')","('herb & pepper',)",0.004132782,0.206666667,4.178454627
22,"('red wine', 'eggs')","('sun chips',)",0.003732836,0.528301887,3.034297437
23,"('mushroom cream sauce', 'nan')","('escalope',)",0.005732569,0.300699301,3.790832697
24,"('pasta', 'nan')","('escalope',)",0.005865885,0.372881356,4.70081185
25,"('french fries', 'soylent coffiest' )","('herb & pepper',)",0.003199573,0.230769231,4.665768194
26,"('fromage blanc', 'nan')","('honey',)",0.003332889,0.245098039,5.164270764
27,"('soylent vanilla', 'green tea')","('tomatoes',)",0.003332889,0.231481481,3.384683416
28,"('soylent vanilla', 'sun chips')","('soylent coffiest',)",0.008665511,0.311004785,3.165328209
29,"('soylent vanilla', 'milk')","('olive oil',)",0.00479936,0.203389831,3.088314005
30,"('soylent vanilla', 'soup')","('milk',)",0.003999467,0.5,3.858539095
31,"('milk', 'tomatoes')","('soylent vanilla',)",0.004132782,0.295238095,3.097316017
32,"('shrimp', 'mineral water')","('soylent vanilla',)",0.00719904,0.305084746,3.200616333
33,"('soylent vanilla', 'sun chips')","('olive oil',)",0.005732569,0.205741627,3.124024175
